"ciudad";"zona";"precio_m2";"fuente";"fecha_dato";"nota";"url_referencia"
"Madrid";"";"23.0";"Indice Fotocasa (precio de oferta publicado)";"2026-07";"No existe ningun registro publico de fianzas con importe y geografia para la Comunidad de Madrid (solo conteos administrativos agregados, sin desglose). Se usa el indice Fotocasa a nivel de todo el municipio. Revisar y actualizar mensualmente/trimestralmente.";"https://www.fotocasa.es/indice-precio-vivienda/madrid-capital/todas-las-zonas"
"Sevilla";"";"15.0";"Indice Fotocasa (precio de oferta publicado)";"2026-07";"Andalucia no publica datos abiertos de fianzas de alquiler (AVRA solo gestiona tramites) y desde enero de 2026 el deposito de fianza ya no es obligatorio en Andalucia (Ley 5/2025), por lo que no habra un registro futuro tampoco. Se usa el indice Fotocasa a nivel de todo el municipio. Revisar y actualizar mensualmente/trimestralmente.";"https://www.fotocasa.es/indice-precio-vivienda/sevilla-capital/todas-las-zonas"
"Madrid";"Salamanca";"30.9";"Indice Fotocasa (valor medio de inmueble / 80 m2 de referencia)";"2026-07";"Sin fuente oficial por barrio en Madrid (verificado). Fotocasa redondea el €/m2 a un valor casi identico al de toda la ciudad para varios barrios premium, asi que se deriva el €/m2 a partir del valor medio de inmueble publicado (2.471 €/mes) para tener mas dispersion real entre barrios. Revisar trimestralmente.";"https://www.fotocasa.es/indice-precio-vivienda/madrid-capital/barrio-de-salamanca"
"Madrid";"Chamberí";"31.2";"Indice Fotocasa (valor medio de inmueble / 80 m2 de referencia)";"2026-07";"Mismo criterio que Salamanca: derivado del valor medio de inmueble publicado (2.499 €/mes). Revisar trimestralmente.";"https://www.fotocasa.es/indice-precio-vivienda/madrid-capital/chamberi"
"Madrid";"Centro";"24.5";"Indice Fotocasa (valor medio de inmueble / 80 m2 de referencia)";"2026-07";"Mismo criterio que Salamanca: derivado del valor medio de inmueble publicado (1.957 €/mes). Revisar trimestralmente.";"https://www.fotocasa.es/indice-precio-vivienda/madrid-capital/centro"
"Madrid";"Malasaña";"23.0";"Indice Fotocasa (valor medio de inmueble / 80 m2 de referencia)";"2026-07";"Mismo criterio que Salamanca: derivado del valor medio de inmueble publicado para el barrio Universidad-Malasaña (1.842 €/mes). Revisar trimestralmente.";"https://www.fotocasa.es/indice-precio-vivienda/madrid-capital/universidad-malasana"
"Madrid";"Retiro";"28.3";"Indice Fotocasa (valor medio de inmueble / 80 m2 de referencia)";"2026-07";"Mismo criterio que Salamanca: derivado del valor medio de inmueble publicado (2.265 €/mes). Revisar trimestralmente.";"https://www.fotocasa.es/indice-precio-vivienda/madrid-capital/retiro"
"Sevilla";"Triana";"15.0";"Indice Fotocasa (precio de oferta publicado)";"2026-07";"PENDIENTE DE VERIFICAR: Fotocasa da exactamente el mismo valor que la media de toda Sevilla (no un dato realmente distintivo del barrio). Se mantiene por ser la unica cifra disponible y porque Triana es un barrio muy reconocible, pero no representa una diferencia real medida.";"https://www.fotocasa.es/indice-precio-vivienda/sevilla-capital/triana"
"Sevilla";"Santa Cruz";"21.0";"Indice Fotocasa (precio de oferta publicado)";"2026-07";"PENDIENTE DE VERIFICAR: el propio Fotocasa marca este calculo como aproximado por falta de datos suficientes. Revisar cuando haya mas muestra.";"https://www.fotocasa.es/indice-precio-vivienda/sevilla-capital/alfalfa-santa-cruz"
"Sevilla";"Nervión";"15.0";"Indice Fotocasa (precio de oferta publicado)";"2026-07";"PENDIENTE DE VERIFICAR: Fotocasa da exactamente el mismo valor que la media de toda Sevilla (no un dato realmente distintivo del barrio).";"https://www.fotocasa.es/indice-precio-vivienda/sevilla-capital/nervion"
"Sevilla";"Macarena";"13.0";"Indice Fotocasa (precio de oferta publicado)";"2026-07";"Revisar trimestralmente contra el indice publicado.";"https://www.fotocasa.es/indice-precio-vivienda/sevilla-capital/macarena"
"Sevilla";"Los Remedios";"16.0";"Indice Fotocasa (precio de oferta publicado)";"2026-07";"PENDIENTE DE VERIFICAR: el propio Fotocasa marca este calculo como aproximado por falta de datos suficientes.";"https://www.fotocasa.es/indice-precio-vivienda/sevilla-capital/los-remedios"
